"","source","type","bp_length","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000137309.19","HAVANA","gene",2327,NA,"ENSG00000137309.19","protein_coding","HMGA1","2","OTTHUMG00000014539.3","ncRNA_host",3.5738980258363,9.34633435026663,70.1185441598683,3.77792091520056e-10,8.73455315594369e-07,14.4366730574124
"ENSG00000087245.12","HAVANA","gene",4933,NA,"ENSG00000087245.12","protein_coding","MMP2","1","OTTHUMG00000133202.5","overlapping_locus",-6.98434571648882,6.76640957689729,-67.5801921915043,4.73626711760507e-10,8.74791202340563e-07,13.3062156339952
"ENSG00000134333.13","HAVANA","gene",6210,NA,"ENSG00000134333.13","protein_coding","LDHA","1","OTTHUMG00000167721.3","overlapping_locus",-3.82791916423502,9.1078721796979,-67.447464589098,4.79369961819945e-10,8.74791202340563e-07,14.1902442358202
"ENSG00000091986.15","HAVANA","gene",13071,NA,"ENSG00000091986.15","protein_coding","CCDC80","1","OTTHUMG00000159265.4",NA,-5.19259552181045,7.13824145209837,-67.3015706684235,4.85776588299222e-10,8.74791202340563e-07,13.8037124871779
"ENSG00000142156.14","HAVANA","gene",5343,NA,"ENSG00000142156.14","protein_coding","COL6A1","2","OTTHUMG00000090440.1",NA,-4.58047270897777,8.44655041591586,-66.4424842171991,5.25584861989717e-10,8.74791202340563e-07,14.0314822497626
"ENSG00000071655.17","HAVANA","gene",7845,NA,"ENSG00000071655.17","protein_coding","MBD3","2","OTTHUMG00000180081.8","overlapping_locus",4.04259350445652,8.04705354615065,65.8969624164604,5.52832675674799e-10,8.74791202340563e-07,13.9768743180842
"ENSG00000108821.13","HAVANA","gene",9819,NA,"ENSG00000108821.13","protein_coding","COL1A1","2","OTTHUMG00000148674.9",NA,-11.3234978527832,9.37925470706482,-65.7637903086452,5.59731626516203e-10,8.74791202340563e-07,13.4808286270063
"ENSG00000138448.11","HAVANA","gene",8211,NA,"ENSG00000138448.11","protein_coding","ITGAV","2","OTTHUMG00000132635.5",NA,-5.29003879713391,7.28149917874476,-65.4652174164385,5.75566178019969e-10,8.74791202340563e-07,13.7061632072875
"ENSG00000150093.18","HAVANA","gene",6011,NA,"ENSG00000150093.18","protein_coding","ITGB1","1","OTTHUMG00000017928.10",NA,-3.67587182589389,8.91294508541965,-65.1190482704093,5.94581267038198e-10,8.74791202340563e-07,13.9813233292796
"ENSG00000131711.14","HAVANA","gene",12630,NA,"ENSG00000131711.14","protein_coding","MAP1B","1","OTTHUMG00000100952.12","ncRNA_host",-4.35040698203126,8.32952294602345,-63.0522007900553,7.24573019560503e-10,1.00991197415587e-06,13.7421668364136
"ENSG00000138119.16","HAVANA","gene",8473,NA,"ENSG00000138119.16","protein_coding","MYOF","2","OTTHUMG00000018772.5",NA,-5.79829266371786,6.92228287447286,-62.7144996020577,7.48822521618294e-10,1.00991197415587e-06,13.3267480763563
"ENSG00000106366.8","HAVANA","gene",3190,NA,"ENSG00000106366.8","protein_coding","SERPINE1","1","OTTHUMG00000157107.2",NA,-5.44385045358449,6.75233218836769,-62.2952627492591,7.80251631251814e-10,1.01020739201435e-06,13.2884664645543
"ENSG00000163453.11","HAVANA","gene",1930,NA,"ENSG00000163453.11","protein_coding","IGFBP7","2","OTTHUMG00000128772.2",NA,-8.23714783390783,6.22294625317111,-61.6988002465211,8.27649275325342e-10,1.03035968245118e-06,12.2270908529094
"ENSG00000091136.13","HAVANA","gene",8140,NA,"ENSG00000091136.13","protein_coding","LAMB1","1","OTTHUMG00000149966.3","ncRNA_host",-5.78609126012824,6.9185518084951,-61.171851545555,8.72327125734487e-10,1.03787988303498e-06,13.2141610573181
"ENSG00000140416.19","HAVANA","gene",12492,NA,"ENSG00000140416.19","protein_coding","TPM1","2","OTTHUMG00000132803.8",NA,-3.5249633778839,9.80994748890997,-60.8850495482356,8.97819968023343e-10,1.03787988303498e-06,13.6169213079874
"ENSG00000183696.13","HAVANA","gene",4577,NA,"ENSG00000183696.13","protein_coding","UPP1","2","OTTHUMG00000129253.3",NA,5.19948600992532,6.69333862667354,59.3662373835565,1.04817272076039e-09,1.13127413362988e-06,13.146016231069
"ENSG00000138758.11","HAVANA","gene",9787,NA,"ENSG00000138758.11","protein_coding","SEPT11","1","OTTHUMG00000160854.2",NA,-3.82755836575793,8.02704068755593,-59.2372909751744,1.06223491241203e-09,1.13127413362988e-06,13.3833186274782
"ENSG00000182718.16","HAVANA","gene",8824,NA,"ENSG00000182718.16","protein_coding","ANXA2","1","OTTHUMG00000132763.5",NA,-3.22827270068814,8.72246346936818,-58.5352948446966,1.14275052157925e-09,1.13127413362988e-06,13.3612298555052
"ENSG00000177469.12","HAVANA","gene",3828,NA,"ENSG00000177469.12","protein_coding","PTRF","2","OTTHUMG00000180137.1",NA,-3.52483241515469,8.5548639703349,-58.2599582582383,1.17625255835144e-09,1.13127413362988e-06,13.3246236743903
"ENSG00000134369.15","HAVANA","gene",22453,NA,"ENSG00000134369.15","protein_coding","NAV1","1","OTTHUMG00000035766.7","ncRNA_host",-4.31553245831254,7.05199508810321,-58.2040563086097,1.18319321648082e-09,1.13127413362988e-06,13.1543349022695
"ENSG00000130726.11","HAVANA","gene",4034,NA,"ENSG00000130726.11","protein_coding","TRIM28","1","OTTHUMG00000183546.2","ncRNA_host",2.95628813264328,9.25808497409082,57.888523478073,1.223273718392e-09,1.13127413362988e-06,13.3080948984408
"ENSG00000205542.10","HAVANA","gene",1705,NA,"ENSG00000205542.10","protein_coding","TMSB4X","1","OTTHUMG00000021144.3",NA,-5.42125306839172,7.20521947617097,-57.508581847046,1.27364853773232e-09,1.13127413362988e-06,13.0404790195924
"ENSG00000166147.13","HAVANA","gene",16057,NA,"ENSG00000166147.13","protein_coding","FBN1","1","OTTHUMG00000172218.2","overlapping_locus",-11.195993993064,6.25392080335878,-57.2335754251164,1.31161765959165e-09,1.13127413362988e-06,10.8708017569754
"ENSG00000122786.19","HAVANA","gene",9843,NA,"ENSG00000122786.19","protein_coding","CALD1","2","OTTHUMG00000155407.9",NA,-4.99987901787341,8.69147685806857,-57.1380576397936,1.32511223225914e-09,1.13127413362988e-06,13.1985631918876
"ENSG00000137076.20","HAVANA","gene",10076,NA,"ENSG00000137076.20","protein_coding","TLN1","2","OTTHUMG00000019874.4","ncRNA_host",-3.72321446978911,8.66035176940896,-57.1169591341475,1.32811471446909e-09,1.13127413362988e-06,13.2108471632584
"ENSG00000067225.17","HAVANA","gene",8571,NA,"ENSG00000067225.17","protein_coding","PKM","1","OTTHUMG00000172709.5",NA,-2.80700172049273,9.68349076194949,-56.4616491005239,1.42543150270299e-09,1.15356022602915e-06,13.1539695638504
"ENSG00000173706.12","HAVANA","gene",9925,NA,"ENSG00000173706.12","protein_coding","HEG1","1","OTTHUMG00000159486.2",NA,-5.31781605348956,6.38639221412804,-56.4608419211397,1.42555638411907e-09,1.15356022602915e-06,12.7301434258842
"ENSG00000100234.11","HAVANA","gene",4603,NA,"ENSG00000100234.11","protein_coding","TIMP3","2","OTTHUMG00000030784.3",NA,-8.77777828166364,5.87053276121674,-56.1502492165022,1.4745675646591e-09,1.16228759297063e-06,11.485000452912
"ENSG00000127586.16","HAVANA","gene",5916,NA,"ENSG00000127586.16","protein_coding","CHTF18","2","OTTHUMG00000047838.5",NA,5.67768860453386,6.04563846113966,55.7322697573198,1.54365014874994e-09,1.16228759297063e-06,12.5738403089905
"ENSG00000134986.13","HAVANA","gene",9337,NA,"ENSG00000134986.13","protein_coding","NREP","1","OTTHUMG00000128795.5","overlapping_locus",-6.7070490119782,6.92211368329096,-55.557547086962,1.57363824999541e-09,1.16228759297063e-06,12.6319583889159
"ENSG00000111640.14","HAVANA","gene",2981,NA,"ENSG00000111640.14","protein_coding","GAPDH","2","OTTHUMG00000137379.1",NA,-2.86973726944801,10.7162348188903,-55.3027680384177,1.6185891952125e-09,1.16228759297063e-06,12.9966991753665
"ENSG00000130702.15","HAVANA","gene",14291,NA,"ENSG00000130702.15","protein_coding","LAMA5","2","OTTHUMG00000032908.6","ncRNA_host",2.94688443100471,8.75824988855986,55.1275721196344,1.65036603111849e-09,1.16228759297063e-06,13.0077414620222
"ENSG00000229124.6","HAVANA","gene",1992,NA,"ENSG00000229124.6","antisense","VIM-AS1","2","OTTHUMG00000017743.2",NA,-7.89900909170211,6.46189000667983,-55.1197980869646,1.65179279772148e-09,1.16228759297063e-06,12.1157365767801
"ENSG00000124762.13","HAVANA","gene",3050,NA,"ENSG00000124762.13","protein_coding","CDKN1A","2","OTTHUMG00000014603.3",NA,-3.77830715543181,7.31797351921823,-54.5197450968893,1.76637731605737e-09,1.18815681873805e-06,12.86266519755
"ENSG00000152952.11","HAVANA","gene",7646,NA,"ENSG00000152952.11","protein_coding","PLOD2","2","OTTHUMG00000159417.2",NA,-4.32357644148077,7.29894203599539,-54.4886300984372,1.77256662978429e-09,1.18815681873805e-06,12.8395281763586
"ENSG00000034510.5","HAVANA","gene",496,NA,"ENSG00000034510.5","protein_coding","TMSB10","2","OTTHUMG00000130027.6",NA,-3.62581405517943,8.13832204415867,-54.3587278861812,1.79868030518304e-09,1.18815681873805e-06,12.9021283424681
"ENSG00000182670.13","HAVANA","gene",15883,NA,"ENSG00000182670.13","protein_coding","TTC3","1","OTTHUMG00000086654.7","overlapping_locus",-3.99945020244464,6.98422309248244,-54.0944590262246,1.85319829772609e-09,1.19968645001596e-06,12.7746111432723
"ENSG00000123384.13","HAVANA","gene",20839,NA,"ENSG00000123384.13","protein_coding","LRP1","1","OTTHUMG00000044412.7","ncRNA_host",-3.79779255836329,8.88160651026857,-53.7060043779596,1.93686232887306e-09,1.21065135816372e-06,12.8479049143213
"ENSG00000113657.12","HAVANA","gene",7164,NA,"ENSG00000113657.12","protein_coding","DPYSL3","2","OTTHUMG00000163437.3",NA,-7.75105780811394,5.62764800173224,-53.6508645134397,1.9490906541666e-09,1.21065135816372e-06,11.5293954173609
"ENSG00000145632.14","HAVANA","gene",4768,NA,"ENSG00000145632.14","protein_coding","PLK2","2","OTTHUMG00000097047.2",NA,-7.19034185653515,5.67493225863809,-53.5029282758397,1.98234435191167e-09,1.21065135816372e-06,11.727129541736
"ENSG00000101384.11","HAVANA","gene",8534,NA,"ENSG00000101384.11","protein_coding","JAG1","2","OTTHUMG00000031872.4","ncRNA_host",-4.74695081652975,6.74316682420831,-53.1453217609595,2.06548992244007e-09,1.21840463698919e-06,12.5964463544583
"ENSG00000185189.17","HAVANA","gene",4924,NA,"ENSG00000185189.17","protein_coding","NRBP2","2","OTTHUMG00000165157.2","overlapping_locus",4.37460693321146,7.81578822804586,53.1250464141179,2.07032424105306e-09,1.21840463698919e-06,12.7512555757553
"ENSG00000100345.20","HAVANA","gene",8959,NA,"ENSG00000100345.20","protein_coding","MYH9","1","OTTHUMG00000030429.8","ncRNA_host",-3.30249410109703,10.7015660485307,-52.7356373883937,2.16577464344419e-09,1.24253669946617e-06,12.6947482665228
"ENSG00000182871.14","HAVANA","gene",8525,NA,"ENSG00000182871.14","protein_coding","COL18A1","1","OTTHUMG00000090407.5","ncRNA_host",-3.50205727013408,7.42176775678795,-52.6474117404911,2.18810528514495e-09,1.24253669946617e-06,12.6813297617215
"ENSG00000168615.11","HAVANA","gene",6913,NA,"ENSG00000168615.11","protein_coding","ADAM9","1","OTTHUMG00000159783.4",NA,-4.07096427473831,7.19637244928979,-52.1411807130362,2.32153356667019e-09,1.27659389273003e-06,12.5950717047678
"ENSG00000118523.5","HAVANA","gene",2339,NA,"ENSG00000118523.5","protein_coding","CTGF","2","OTTHUMG00000015573.2",NA,-7.20901515173289,6.82260054338327,-52.1213133441903,2.32695995029263e-09,1.27659389273003e-06,12.2186583806928
"ENSG00000135074.15","HAVANA","gene",7704,NA,"ENSG00000135074.15","protein_coding","ADAM19","2","OTTHUMG00000130242.2","overlapping_locus",-5.43889930822304,6.29863653818659,-51.7220672709564,2.43919568294224e-09,1.27740793533827e-06,12.2744076642542
"ENSG00000035862.12","HAVANA","gene",5633,NA,"ENSG00000035862.12","protein_coding","TIMP2","2","OTTHUMG00000154517.4","overlapping_locus",-5.91236178871595,5.97241976214875,-51.6920025528105,2.44789930270154e-09,1.27740793533827e-06,12.070842004135
"ENSG00000139926.15","HAVANA","gene",9416,NA,"ENSG00000139926.15","protein_coding","FRMD6","1","OTTHUMG00000140294.3","ncRNA_host",-5.27936818765232,6.93579110112286,-51.5881338141109,2.47824798954073e-09,1.27740793533827e-06,12.4385433673109
"ENSG00000150938.9","HAVANA","gene",7122,NA,"ENSG00000150938.9","protein_coding","CRIM1","1","OTTHUMG00000099419.2",NA,-4.57545191683564,6.32341875669474,-51.2536757778138,2.57898552742804e-09,1.27740793533827e-06,12.3347607798745
"ENSG00000085063.14","HAVANA","gene",4942,NA,"ENSG00000085063.14","protein_coding","CD59","1","OTTHUMG00000166270.3","overlapping_locus",-5.17433506191838,5.92427751492605,-51.1843089757835,2.60047014897117e-09,1.27740793533827e-06,12.1358915003488
"ENSG00000173153.13","HAVANA","gene",3030,NA,"ENSG00000173153.13","protein_coding","ESRRA","2","OTTHUMG00000150641.7",NA,4.47373607751392,6.04621095885092,51.1649857208696,2.60649204827133e-09,1.27740793533827e-06,12.3200673427466
"ENSG00000150687.11","HAVANA","gene",11725,NA,"ENSG00000150687.11","protein_coding","PRSS23","2","OTTHUMG00000167226.3","overlapping_locus",-5.29770570417587,6.07478216150974,-51.025836943679,2.65033832452797e-09,1.27740793533827e-06,12.1563934344843
"ENSG00000128595.16","HAVANA","gene",4537,NA,"ENSG00000128595.16","protein_coding","CALU","2","OTTHUMG00000158274.3","ncRNA_host",-3.71934455301247,8.06787053971519,-50.831554092847,2.71300015627877e-09,1.27740793533827e-06,12.5039102609168
"ENSG00000122490.18","HAVANA","gene",5225,NA,"ENSG00000122490.18","protein_coding","PQLC1","1","OTTHUMG00000132921.6",NA,4.18209234597947,6.53932384667656,50.7090594085038,2.75339354158124e-09,1.27740793533827e-06,12.3829408406799
"ENSG00000133816.13","HAVANA","gene",15809,NA,"ENSG00000133816.13","protein_coding","MICAL2","1","OTTHUMG00000165744.7","ncRNA_host",-7.0664121302053,5.85525100565946,-50.6774980887508,2.763914087955e-09,1.27740793533827e-06,11.6714568150742
"ENSG00000147065.16","HAVANA","gene",5971,NA,"ENSG00000147065.16","protein_coding","MSN","2","OTTHUMG00000021723.4",NA,-4.0488475051983,7.94897746293779,-50.5926509241534,2.79242925954538e-09,1.27740793533827e-06,12.4697118285983
"ENSG00000164741.14","HAVANA","gene",12794,NA,"ENSG00000164741.14","protein_coding","DLC1","1","OTTHUMG00000090825.9","overlapping_locus",-4.55615896748667,6.42165537310665,-50.2071244866238,2.92638125683862e-09,1.27740793533827e-06,12.2528175574464
"ENSG00000163171.7","HAVANA","gene",10406,NA,"ENSG00000163171.7","protein_coding","CDC42EP3","2","OTTHUMG00000100971.5",NA,-7.00928035365054,5.55596490359166,-50.1824421842317,2.93520861833716e-09,1.27740793533827e-06,11.4775271887856
"ENSG00000131236.16","HAVANA","gene",3814,NA,"ENSG00000131236.16","protein_coding","CAP1","2","OTTHUMG00000004493.2",NA,-3.22070493598329,8.11151193782859,-50.0731611161607,2.97466565580947e-09,1.27740793533827e-06,12.4175244690526
"ENSG00000072310.16","HAVANA","gene",8030,NA,"ENSG00000072310.16","protein_coding","SREBF1","2","OTTHUMG00000059313.8","ncRNA_host",3.49045928580344,7.41129723075626,50.069580445064,2.97596888972102e-09,1.27740793533827e-06,12.3993913310214
"ENSG00000141756.18","HAVANA","gene",4273,NA,"ENSG00000141756.18","protein_coding","FKBP10","1","OTTHUMG00000133497.5",NA,-5.26840466305563,6.57226724890775,-50.0472787385743,2.9841008570229e-09,1.27740793533827e-06,12.2068764754096
"ENSG00000077150.18","HAVANA","gene",4484,NA,"ENSG00000077150.18","protein_coding","NFKB2","2","OTTHUMG00000018962.4",NA,4.01239267368431,7.87046851711236,50.0056446520008,2.99935130640475e-09,1.27740793533827e-06,12.4031944292323
"ENSG00000196924.14","HAVANA","gene",10585,NA,"ENSG00000196924.14","protein_coding","FLNA","1","OTTHUMG00000022712.29",NA,-2.64275146290992,11.2553979536138,-49.5977869301108,3.15364072305718e-09,1.3208829307586e-06,12.2539931223896
"ENSG00000267059.2","HAVANA","gene",1002,NA,"ENSG00000267059.2","protein_coding","AC005943.2","2","OTTHUMG00000180082.1","overlapping_locus",3.28913396529025,7.32195298533259,49.4968224933638,3.19324737337075e-09,1.3208829307586e-06,12.3304470054794
"ENSG00000142871.16","HAVANA","gene",2455,NA,"ENSG00000142871.16","protein_coding","CYR61","2","OTTHUMG00000010577.1",NA,-5.26362887219529,6.38074731316492,-49.3323104456178,3.25902833899707e-09,1.3208829307586e-06,12.088703367433
"ENSG00000166710.17","HAVANA","gene",6089,NA,"ENSG00000166710.17","protein_coding","B2M","2","OTTHUMG00000131247.3",NA,-5.69933739368249,5.70487535446409,-49.2146670797938,3.30703543910336e-09,1.3208829307586e-06,11.7823355057197
"ENSG00000160949.16","HAVANA","gene",7111,NA,"ENSG00000160949.16","protein_coding","TONSL","2","OTTHUMG00000153122.3","ncRNA_host",4.75508965108346,5.75612373792468,49.1517455610114,3.33304925535232e-09,1.3208829307586e-06,12.0187860842165
"ENSG00000062822.12","HAVANA","gene",4858,NA,"ENSG00000062822.12","protein_coding","POLD1","1","OTTHUMG00000183037.3","overlapping_locus",4.56179722380594,6.56252271427787,49.1199613458381,3.34628028677105e-09,1.3208829307586e-06,12.1959023192658
"ENSG00000088247.17","HAVANA","gene",4563,NA,"ENSG00000088247.17","protein_coding","KHSRP","1","OTTHUMG00000180850.3","ncRNA_host",3.20592976462391,9.05521910291244,48.8979974983618,3.44039992465907e-09,1.34167306941403e-06,12.2652624276721
"ENSG00000157654.17","HAVANA","gene",8203,NA,"ENSG00000157654.17","protein_coding","PALM2-AKAP2","2","OTTHUMG00000156812.3","overlapping_locus",-5.25434795338535,5.79938159214053,-48.7455016373346,3.50684771286187e-09,1.34743838303442e-06,11.8531463305553
"ENSG00000241978.9","HAVANA","gene",7862,NA,"ENSG00000241978.9","protein_coding","AKAP2","2","OTTHUMG00000156811.7","overlapping_locus",-5.01030335584237,5.85051729328971,-48.6688284571216,3.54081994507863e-09,1.34743838303442e-06,11.8992010621301
"ENSG00000158769.17","HAVANA","gene",5066,NA,"ENSG00000158769.17","protein_coding","F11R","1","OTTHUMG00000028602.3","overlapping_locus",5.71322979852077,5.4358601863067,48.4755994935147,3.62814639398109e-09,1.34743838303442e-06,11.7027463005092
"ENSG00000159176.13","HAVANA","gene",10318,NA,"ENSG00000159176.13","protein_coding","CSRP1","2","OTTHUMG00000035773.4",NA,-4.23665111238227,6.48558616283896,-48.3408319355663,3.6905353972045e-09,1.34743838303442e-06,12.0863609644303
"ENSG00000146083.11","HAVANA","gene",5660,NA,"ENSG00000146083.11","protein_coding","RNF44","2","OTTHUMG00000130664.3",NA,3.76813568286186,6.53066580912522,48.2987985209673,3.71024880222322e-09,1.34743838303442e-06,12.1307064321361
"ENSG00000162909.17","HAVANA","gene",8792,NA,"ENSG00000162909.17","protein_coding","CAPN2","2","OTTHUMG00000037376.4",NA,-4.65199841870413,6.54920639724694,-48.0830420488538,3.81338471203503e-09,1.34743838303442e-06,12.0426884090705
"ENSG00000134013.15","HAVANA","gene",5707,NA,"ENSG00000134013.15","protein_coding","LOXL2","1","OTTHUMG00000163797.5","overlapping_locus",-8.41698817390324,5.78025124750017,-47.920361642621,3.89335642977793e-09,1.34743838303442e-06,11.0452614856125
"ENSG00000240972.1","HAVANA","gene",1109,NA,"ENSG00000240972.1","protein_coding","MIF","2","OTTHUMG00000150773.2","overlapping_locus",3.73922321043834,9.79160465783454,47.8801502894566,3.91342330616722e-09,1.34743838303442e-06,12.1104867384621
"ENSG00000141556.20","HAVANA","gene",13546,NA,"ENSG00000141556.20","protein_coding","TBCD","2","OTTHUMG00000177878.4","overlapping_locus",3.64630266372435,7.2572942678606,47.7987892638758,3.95439423950944e-09,1.34743838303442e-06,12.1201601632174
"ENSG00000218537.1","HAVANA","gene",1476,NA,"ENSG00000218537.1","antisense","MIF-AS1","2","OTTHUMG00000150772.2",NA,3.71127057233184,9.7513786827606,47.7854695061368,3.96114906128668e-09,1.34743838303442e-06,12.0991925690192
"ENSG00000060656.19","HAVANA","gene",6682,NA,"ENSG00000060656.19","protein_coding","PTPRU","2","OTTHUMG00000003699.7",NA,3.70317177921733,6.82495315599913,47.7189389593598,3.99509005451805e-09,1.34743838303442e-06,12.0879145658498
"ENSG00000132361.16","HAVANA","gene",6900,NA,"ENSG00000132361.16","protein_coding","CLUH","2","OTTHUMG00000177575.9","ncRNA_host",3.62208258058144,7.62882595503348,47.531154024432,4.09272883768977e-09,1.34743838303442e-06,12.0972936157725
"ENSG00000180900.18","HAVANA","gene",6192,NA,"ENSG00000180900.18","protein_coding","SCRIB","1","OTTHUMG00000165154.5","ncRNA_host",3.78368171279746,7.92239019748336,47.4483710865658,4.13665105097674e-09,1.34743838303442e-06,12.0901618446147
"ENSG00000162688.16","HAVANA","gene",8434,NA,"ENSG00000162688.16","protein_coding","AGL","2","OTTHUMG00000010803.2",NA,3.5079114868341,6.74453750771351,47.3514684923198,4.18876265727005e-09,1.34743838303442e-06,12.0419200248683
"ENSG00000139998.14","HAVANA","gene",4379,NA,"ENSG00000139998.14","protein_coding","RAB15","2","OTTHUMG00000142810.6",NA,4.77889152365477,6.38875768482894,47.3255264350492,4.20284283943166e-09,1.34743838303442e-06,11.9576421106085
"ENSG00000166963.12","HAVANA","gene",10629,NA,"ENSG00000166963.12","protein_coding","MAP1A","1","OTTHUMG00000059756.5",NA,-3.94639332407686,6.26885508351327,-47.2129419989855,4.26458966769319e-09,1.34743838303442e-06,11.9426187417755
"ENSG00000088305.18","HAVANA","gene",4630,NA,"ENSG00000088305.18","protein_coding","DNMT3B","2","OTTHUMG00000032226.4",NA,5.57507600020835,5.83604357859571,47.1553533086545,4.29658150254662e-09,1.34743838303442e-06,11.7427097078837
"ENSG00000101057.15","HAVANA","gene",2777,NA,"ENSG00000101057.15","protein_coding","MYBL2","2","OTTHUMG00000033062.1",NA,3.97748470007064,7.33089082629285,47.1113752646706,4.32120027551259e-09,1.34743838303442e-06,12.0344309780475
"ENSG00000074800.13","HAVANA","gene",3958,NA,"ENSG00000074800.13","protein_coding","ENO1","2","OTTHUMG00000001773.5","overlapping_locus",-2.11902993511774,9.94258867097736,-46.961448642283,4.40636990523038e-09,1.34743838303442e-06,11.9688692864296
"ENSG00000120708.16","HAVANA","gene",7810,NA,"ENSG00000120708.16","protein_coding","TGFBI","1","OTTHUMG00000163213.4",NA,-12.790984759681,5.90881180042281,-46.8960992652399,4.4441029261946e-09,1.34743838303442e-06,9.42754875570119
"ENSG00000169635.9","HAVANA","gene",7219,NA,"ENSG00000169635.9","protein_coding","HIC2","2","OTTHUMG00000150781.3",NA,5.16010371376574,6.6832035431416,46.8614778250889,4.46424565912968e-09,1.34743838303442e-06,11.9255893675083
"ENSG00000107404.19","HAVANA","gene",3814,NA,"ENSG00000107404.19","protein_coding","DVL1","2","OTTHUMG00000003069.4","ncRNA_host",3.26925283882967,7.18723178498485,46.834746532691,4.47987053721821e-09,1.34743838303442e-06,12.0007752970471
"ENSG00000177192.13","HAVANA","gene",5732,NA,"ENSG00000177192.13","protein_coding","PUS1","1","OTTHUMG00000128507.7","overlapping_locus",4.17447435761885,5.92121733296719,46.8018255550651,4.499200828697e-09,1.34743838303442e-06,11.8580116296569
"ENSG00000104897.9","HAVANA","gene",3134,NA,"ENSG00000104897.9","protein_coding","SF3A2","2","OTTHUMG00000180414.4",NA,3.296116434016,7.25386349553167,46.79541396092,4.50297681194297e-09,1.34743838303442e-06,11.9975048593106
"ENSG00000135046.13","HAVANA","gene",4561,NA,"ENSG00000135046.13","protein_coding","ANXA1","2","OTTHUMG00000020016.2",NA,-5.95167768243872,5.62663793169014,-46.7003275323935,4.55941084445305e-09,1.34743838303442e-06,11.4710459553516
"ENSG00000269378.1","HAVANA","gene",609,NA,"ENSG00000269378.1","processed_pseudogene","ITGB1P1","1","OTTHUMG00000183370.1","overlapping_locus",-4.8139202084668,6.00969727425931,-46.6871140447015,4.56731797230257e-09,1.34743838303442e-06,11.7649775225815
